orig_tweet,label,tweet_id,author_id,lang
rt @martinshovel: rhino shot dead by poachers at french zoo https://t.co/tfqmmhf9ao,0,8.39E+17,123425656,en
richard branson speaks out against rhinoceros-horn trade - members of few species face a greater threat from poaching than rhinoceroses. https://t.co/qwndct8b6f https://t.co/jecx3tonle,0,1.13E+18,1007299655124779009,en
rt @nikela_wildlife: new #rhino? the heartbreaking #poaching epidemic you haven’t heard of yet | @scoopit http://t.co/rosopfjvux,-1,3.99E+17,191034625,en
2017: here are the 10 species closest to extinction @ibtimesuk @martha_rosamund #rhinos #vaquita #extinctioncrisis https://t.co/w5joiziuec https://t.co/tjd9l4jv3y,0,8.24E+17,43194755,en
"justice for rhinos—when will it come?' #rhino #stoprhinopoaching 

https://t.co/7nomb39cli",-1,7.92E+17,869959916,en
"now through march 31, you can get up-close-and-personal with jody, a critically endangered black rhinoceros, during @buschgardens' rhino endangered species tour 🦏: https://t.co/5i86pyujfc https://t.co/2ysvnqianq",1,1.11E+18,12356582,en
watch: orphaned baby giraffe befriended by anti-poaching dog - the daily beast https://t.co/t0vaquux8q via @googlenews,1,1.20E+18,47677431,en
"""the death of the rare creature ... leaves only six northern white rhinos left on earth"" ... http://t.co/tzq6hniael via @natgeo",-1,5.25E+17,327932987,en
2017 was another deadly year for african #rhinos. https://t.co/77yx1j9lqp,-1,9.59E+17,18926099,en
news:  sa and #vietnam to fight rhino poaching - independent online http://t.co/qbmst14deg,0,3.12E+17,563455743,en
"the most illegally trafficked mammal in the world is not the #elephant or #rhino, but the #pangolin! in honor of #endangeredspeciesday, rt to spread the word about this #lesserknownendangeredspecies https://t.co/ahwitpmnof",-1,9.96E+17,18651671,en
"watch mount etna in italy erupt into the night sky with fiery balls of orange lava, a rhino at the denver zoo is celebrating his birthday by playing the piano, and more of today's top videos. https://t.co/ltvuswr3c6",1,1.40E+18,17290551,en
rhino mother and child fine art print 16.5x10 by beckytylerart http://t.co/yiqjz1rrco via @etsy #smallbiz #etsy #drawing,0,5.67E+17,551424946,en
giraffes / rhinos and pretty much everything else is sliding towards extinction because of us. it needs to stop now.. https://t.co/fr0rvgxbme,-1,9.79E+17,1907601986,en
"rt @wcff_org: #rhino numbers in #ngorongoro increase. one under protection, nicknamed fausta, is believed to be one of the oldest in the wo…",0,1.01E+18,612283149,en
"deaths of rhinos by poaching are fast approaching a tipping point, with the number of endangered ... http://t.co/1hxl8r9xq7 via @newscomauhq",-1,4.04E+17,9366272,en
@_fournette summon your inner rhino and give every opponent the horn! 🦏👊,0,1.06E+18,1057813872734691330,en
"""the governments of mozambique and south africa have announced plans to reintroduce rhino species to the zinave national park in southern mozambique which became extinct 40 years ago."" 
#rhinos #mozambique 
https://t.co/xkxlt5ikkk",0,1.52E+18,905818825328926720,en
rt @cbcworldnews: hunters to bid on right to bag endangered rhino http://t.co/d1j7h9sueu,0,3.95E+17,19001819,en
"hey twitter stop saying ""the last white rhino died!!!"" sudan was the last male northern white rhino!! there's a small population of southern white rhinos left! and sudan's daughter and granddaughter, fatu and najin, are still alive and well in kenya! #whiterhino https://t.co/9ybpiprvml",1,9.78E+17,2867804935,en
thank you! rt @agcia87: i just supported the international rhino foundation by shopping @amazonsmile. #youshopamazongives @rhinosirf,1,5.45E+17,9366272,en
"come #bowlforrhinos on saturday, may 11 from 6 to 9 p.m. to help raise money for wild rhinos. http://t.co/etpjaae0ej http://t.co/kapigvvnf0",1,3.32E+17,45944023,en
"@punkin682 @armybratt68 oh yeah! i like rhino bucket, but i think jackyl sounds like a southern version of ac/dc (in fact brian sings with them on the song ""kill the sunshine, uncredited) and another aussie band ""airbourne"" really sounds like ac/dc. they even look a little like them! https://t.co/bp5oe14ttc",FLAG_BAD,1.21E+18,846045909796503552,en
there are now only 6 northern white rhinos on earth via @dodo https://t.co/jyhl3gxddo,-1,5.24E+17,64216992,en
rt @yahoonews: a group of researchers has found a new species of giant rhino from fossils dating back 26.5 million years in china. https://…,0,1.41E+18,496521332,en
rt @tanaweingartner: several things for you this morning: 1) how rare rhino's remains could help his endangered brethren. http://t.co/aimh5…,0,5.28E+17,20276998,en
@theaaes @jasosamd @sanzianar @susieqp8 @michaelyehmd @ucsfendosurg @endosurgsf @wshen16 @rebecca_sippel @mzeigermd @carmensolcar @daceyseib @gmdoherty @tracyswangnymke did you know you can get a painting made by a rhino in the colors of your choice from the @cincinnatizoo - including from an indian rhinoceros? i see endocrine surgeons flocking to cincy. great zoo not too far from the med school. https://t.co/lxkm8inwue  #rhinorembrandts https://t.co/jpof4tdp3d,0,9.89E+17,3128058547,en
save africa's last rhinos from extinction http://t.co/9cnmieycvi,1,6.27E+17,3238834748,en
rt @hans_taeubler: ibm’s iot #animalrights #animals #animalkingdom #protect #african #rhinos #wildlife #solution worldrhinoday ibmiot https…,0,9.11E+17,800575002642784256,en
"2 rhino poachers captured w/ .458 on glc mozambique/ kruger park border. now, how do you suppose they got a... https://t.co/3no4qx3ubi",1,7.23E+17,27537378,en
rt @helpanelephant: believe animals are safer in zoos than wild? http://t.co/ufjzvjwi french zoo's rhino surveillance against poachers,0,1.35E+17,208145702,en
a pride of lions killed and ate a group of rhino poachers who broke into a wildlife reserve https://t.co/ugwmj0v03n via @yahoonews,1,1.02E+18,956538030,en
the god-damned rhino killed us in georgia! https://t.co/s4hnrtv1lw,FLAG_BAD,1.35E+18,711674837530333185,en
tell your members of @congressdotgov @reptomsuozzi @tom_suozzi say #no to #budget cuts that would spell #disaster for #endangered #wildlife. #theresistance #wednesdaymotivation #racingextinction #stopextinction #climateaction #actonclimate now https://t.co/ji1hjreweu,FLAG_BAD,1.01E+18,388449416,en
"featured art of the day: ""the endangered rhino"". buy it at: https://t.co/8brdljwjss https://t.co/vbwprjueiw",0,1.49E+18,841529417713176577,en
"watch: is a chainsaw the best tool to save africa's rhinos? https://t.co/8lxgypii5t
https://t.co/jrlred6dxi",0,7.33E+17,17134268,en
"respectfully .@potus

save our beloved #elephants from #extinction

pls✍🏻➕rt ▪️💗▪️#thankyou
💗https://t.co/6ebvmzfxfa https://t.co/hobadurw4p",1,7.40E+17,361902109,en
"last male northern white rhino takes a walk despite illness
https://t.co/rq4uprv7e2",-1,9.70E+17,9651842,en
what's #zimwildtrade ? it's comprehensive plunder #wildlife #ivory #horn #zimbabweelephants #rhino #lions .. poaching hunting trading dead or alive .. leaving #zimbabwe destination #china via .@cites fraud 🇿🇼🐘🦏🦁pic https://t.co/hwxcuhnxy8,-1,1.08E+18,2282470454,en
jacob zuma: end rhino horn trade - sign the petition! https://t.co/tg7mbrhlsc via @change,0,8.50E+17,977181163,en
rt @tutticontenti: save the #rhino. kenya implanting #microchips in every rhino to fight poaching  http://t.co/hkzekvqdpr …,1,3.99E+17,37048246,en
"baby #rhino, #handmade #unframed cross stitch- rhino, baby gift, childs gift, gift for baby, gift for child, childs room decor, zoo animal #etsyseller #crossstitch #etsyshop #etsychaching #craftshout https://t.co/oh8khmspvp https://t.co/85a6osypzg",FLAG_BAD,1.10E+18,1648639159,en
ohio zoo welcomes new baby rhino https://t.co/lrddwn8oiv https://t.co/wljtumipul,0,1.21E+18,2067661,en
would-be rhino poacher caught before he had a chance to kill http://t.co/sre6sukhl6,1,6.17E+17,1313295234,en
"suspicion of the involvement of militant extremists in poaching is always a concerning development.
'grenade, advanced kalashnikovs recovered from 3 hunters point to larger extremist network' #stoprhinopoaching #rhino  
https://t.co/fouqhyw7jp",0,1.27E+18,905818825328926720,en
"did you know that bad rhino is one of the leading marketing firms in philadelphia?

learn about what makes them the best here: https://t.co/tinadsea3f 

#philadelphiasmm #digitalmarketingphilly",FLAG_BAD,1.31E+18,235366725,en
oh dear 😆 bbc news - lions eat 'rhino poachers' on south african game reserve https://t.co/y5x6aj5sco,1,1.01E+18,3410518295,en
desire to supply rhino horn drives manufacture of demand  https://t.co/dmdwefmwmz,-1,7.69E+17,196764667,en
"happy #nationalwalkingday! 

doing a daily neighbourhood walk has been my sanity saver during the pandemic and i cannot wait until i can travel again and enjoy some more adventurous terrain, like this time i walked to see rhinos in the wild. https://t.co/z309ax8eqe https://t.co/b4jx8axwje",FLAG_BAD,1.38E+18,51556323,en
"the end of 2015 saw 1,175 rhinos killed by poachers in south africa alone. the continent-­‐wide numbers increased t… https://t.co/nimysbmqr5",-1,7.32E+17,9366272,en
"#repost @amivee with make_repost
・・・
video by @amivee. back by popular demand! here is more of mia and emilka. mia, the kitty had her tail bitten off by a different rhino when she was a… https://t.co/qf8rm2kq5m",FLAG_BAD,1.10E+18,725047451820781568,en
"video: angry rhino chases conservationists who are forced to hide up a tree
https://t.co/972fkekjhm",-1,1.49E+18,1007725923720835072,en
"texas pack hounds charge to the rescue for rhinos in south africa, nabbing 145 poachers so far https://t.co/n4ju9287ft",1,1.21E+18,4172291727,en
"rt @eljohn88: #breakingnews #malaysia seizes a staggering 50 #rhino horns in klia postal centre, bound for hanoi, #vietnam #wildlifecrime h…",1,1.03E+18,14314815,en
this is our latest elephant/rhino bag that is available. approximately 25000 elephants are killed in africa every... https://t.co/xvkqknifae,1,7.13E+17,1117932379,en
"@garebear20_ @jamesmelville lions, rhinos, and elephants and all endangered. and last time i checked you can’t eat any of them, that’s why it’s called trophy hunting you literally keep them as trophy’s",0,9.97E+17,774390219067895808,en
"@andorbutfor an enormous lemur forest, black bears, brown bears, mexican grey wolves, a giant african savanna, an anaconda, two types of rhinos, a south american aviary..............",0,1.18E+18,547397219,en
"scientists can now flood the black market for rhino horns with horsehair fakes. but conservation groups that study the rhino horn trade argue that fake alternatives are unlikely to end up preserving the endangered species, and could make the problem worse. https://t.co/fwntkbvpxj",0,1.20E+18,1344951,en
@bbcnature where do you stand on the issue of allowing an endangered black rhino to be killed by trophy hunter? http://t.co/82jm8mkajt,0,4.28E+17,148972672,en
"when looking to excell your business, you will want to make sure you have the best of the local media and marketing companies.

see why bad rhino is the company that will take you to the top: https://t.co/1tx6yizxf9

#westchestersocialmedia #philadelphiamarketing",FLAG_BAD,1.05E+18,235366725,en
"in search of the best marketing agencies in philadelphia?

learn why bad rhino is one of the best here: https://t.co/fbeozjnhz2

#marketingphilly #philadelphiasmm",FLAG_BAD,1.31E+18,235366725,en
some good news this morning about an increase in greater one-horned rhino numbers - http://t.co/uimsvrnjse,1,5.78E+17,896231238,en
the only one that needs a horn is a rhino https://t.co/8katiiicd7,0,1.01E+18,973866358705475584,en
rt @knowlegedgirl: some charities claim they use funds from trophy hunting to protect rhinos from poaching..obviously it is not working..ht…,-1,4.25E+17,1349829794,en
a7: ...way to bring the sumatran rhino back from the brink is to relocate them to managed breeding facilities designed specifically for their care and propagation...(2/3),1,1.33E+18,9366272,en
"is your business in search of content marketing in philadelphia?

learn more about bad rhino's content creation here: https://t.co/ahb9yyliki 

#marketingphilly #philadelphiasmm",FLAG_BAD,1.30E+18,235366725,en
.@tbcza geo-tagging by tourists is leading poachers to wildlife. please warn them to #turnoffyourgps http://t.co/wrn1ghliuc 2,0,4.78E+17,281193355,en
who killed this benevolent man who saved so many rhinos and elephants? a new lead. https://t.co/zobhuvydhp via @thedailybeast,-1,9.63E+17,322234897,en
kenya's last northern white rhino joins tinder https://t.co/3jckrfipwq via @huffpostweird,0,8.57E+17,788062452013412352,en
the el paso rhinos begin their journey toward the thorne cup with a 6-0 win! https://t.co/ugm1j2osd9,FLAG_BAD,1.12E+18,1619116999,en
rhino killer sues airline because he wants to bring his victims home https://t.co/d57bywutmf,-1,7.72E+17,4003432573,en
"thornberry: ‘time is right’ for a change thank you heavenly father, please no more rhinos! ijn amen https://t.co/2orrvrassq",FLAG_BAD,1.22E+18,1081436317668528128,en
"the rhino had been at the zoo since 2009, and passed at age 25. https://t.co/m5tf7r8vjz",0,1.51E+18,24432463,en
maasai warriors take to the cricket field to save the northern white rhino http://t.co/zxmvrpf7g1 via @scoopit,FLAG_BAD,6.40E+17,177362867,en
"rt @stweeytcat: these birds have been found to warn rhinos of poaching—and it could help protect the species

teamwork makes the dream work…",1,1.26E+18,2630307154,en
rt @globalelephants: photos capture confrontation in a  south african national park. although outnumbered by the herd of 15 #elephants the…,0,9.85E+17,4115328674,en
"the forest department personnel managed to chase it back to the national park with the help of local villagers.' #rhino 
https://t.co/jgrxtnmz62",1,1.23E+18,905818825328926720,en
"""the lodge, sharing a border with the kruger national park, was burned down on january 31 and a case of arson is being investigated."" #rhino #conservation #southafrica #rhinofriday 
https://t.co/3o8s89kdtz",-1,1.37E+18,905818825328926720,en
"@breakingnorfolk @colonelkek45 @erincohan @liz_cheney @anncoulter the chinese are the reason so many animals are on the brink of extinction.

the want rhino horn, tiger penis and other exotic animal parts for their “medicinal” use.

they are incredibly stupid.",-1,1.24E+18,16632562,en
"@muttscomics yes, now that rhino species is extinct. sudan rip - you were a beautiful animal and will be missed.",-1,9.76E+17,712759573304598529,en
rt @saveanimals: chad has done amazing work to save the african rhino! https://t.co/umkqbftheq,1,9.49E+17,3022761022,en
"crime blotter: elephant ivory, rhino horn, a giraffe skull, and more https://t.co/qr7ursq6wj via @natgeo",0,6.82E+17,2918023842,en
you know what would be really cool sean is to train those dogs that they eat in china to smell out rhino horn and you know the rest of the story,1,1.04E+18,973866358705475584,en
south africa may legalize rhino horn trade. sign our petition to say no to this proposal! https://t.co/sddsmz8mp3,-1,8.49E+17,1611685627,en
@mlynnfryer do you know about them? @heartgiraffes: become a member and keep a rhino alive. sanwild needs funding.  http://t.co/69slgpeiq1,0,5.29E+17,15608392,en
"baby rhino picks fight with car, changes mind - national geographic https://t.co/3kgxeto4aw",1,9.25E+17,3007401576,en
"@notabbwlover i'll check my local arab market. discount store around the corner from me sells rhino pills for like $2.50 a pop, though https://t.co/1dqorcim5p",-1,1.61E+18,21399864,en
@senrik6 @lillyajarova @sudantherhino @ugwildlife @hodilu @citysfelephants @planet_rhino how did nandi die?,-1,1.37E+18,973866358705475584,en
"rt @animalworksaust: miniature wildlife warriors! unlike sniffer dogs, the african giant pouched rat can squeeze into very tight spaces - c…",1,9.79E+17,18471312,en
#kipronokws 19 elephants and 4 rhinos killed in january 2013,-1,2.91E+17,202059210,en
"6. conservation. i honestly didn’t know how bad the situation is for rhinos right now in the world. the deeper i have gone, and the more i have heard, the more reasons i found for this thread to be written, and for this project to happen.",-1,1.56E+18,1482426599907762183,en
"northern white rhinos guarded as 1 male left worldwide: 
    
 http://t.co/21ghwz7jfk #latest",-1,5.89E+17,336041336,en
meet akeno the baby rhino at chester zoo https://t.co/cdqyglpi8k),0,1.01E+18,15251890,en
rt @sweetpurplejune: @rhino_records @thecarsband this makes me giddy. #nationalcarsday,1,1.00E+18,64300871,en
"rt @trtworld: animal rights activists find the first online auction for rhino horns ""outrageous"" https://t.co/9iani5slul",-1,9.01E+17,274893674,en
".@wuvva @joewertz @usatoday ty. it's very difficult. every animal matters. hissing cockroach, koi, rhino, goat, toad. #wecare #morethanazoo",0,6.95E+17,38246445,en
baby #rhino whose mother was killed by poachers is now flourishing in india's manas national park http://t.co/o1rj88upg8,1,3.49E+17,16029780,en
"amazing african animals: the rhino beelte, the third of africa's little 5. the rhino beetle is a large insect... http://t.co/kgr1eqjn66",1,4.36E+17,50090051,en
happy world rhino day! please help protect these incredible creatures. punish poachers to the max! #worldrhinoday #rhinoconservation #wildlifeisprecious #savewildlife #nopoaching… https://t.co/fycq3oa7wh,1,1.04E+18,57772977,en
m: rhino and sub trade holds.   6-4 rhino up two breaks,FLAG_BAD,6.50E+17,632109764,en
this is a big blow to rhino horn trafficking in the u.s. http://t.co/dg3cz7ceqn,1,4.72E+17,1604444052,en
"state media: police in vietnam seize more than 1,500 pounds of rhino horns, elephant tusks believed to have origin… http://t.co/8y7alwi0sv",1,6.32E+17,2734103126,en
"rt @potterparkzoo: celebrate red pandas saturday, sept. 18 at potter park zoo! a number of fun family activities will be available alongsid…",1,1.44E+18,542672025,en
rt @emilyspartz: .⁦@greatplainszoo⁩ is the best! charlie loves exploring all the animals! #rhino #zoo #siouxfalls ⁦@tomweerheim⁩ https://t.…,1,1.12E+18,302019676,en
"understanding the nature, challenges and risks of wildlife conservation,  relating to rhino and other species... https://t.co/rstnomkv72",0,8.81E+17,374004177,en
rhino (red floral) original painting 16x20 mixed media http://t.co/p8nz0dvq6u #deanrusso #rhino  #rhinosauraus #wildlife #animal,0,5.98E+17,16253597,en
china eased a ban on rhino and tiger parts. here's how organized crime fuels illegal poaching https://t.co/07qj8hzhex https://t.co/vlleq3vohl,-1,1.06E+18,767499419335950336,en
"@mossythecritic @jamesmelville @adamhartscience @thecriticmag poaching for elephant tusks , rhino horns etc i believe may be those beautiful animals demise , habitat loss , unneeded booms in populations are killing out animals as much .it is a sad reality that these poor animals are worth more dead than alive",-1,1.27E+18,1127662902368804864,en
"rt @horni_rhino: getting out and about this weekend? don't worry, with our eco-friendly travel mug and sustainable tote bag we've got you c…",FLAG_BAD,1.42E+18,759155531332390912,en
"1 year after cincinnati departure, endangered rhino ready to play key role in species’ survival https://t.co/owraakhhfy",1,7.98E+17,9366272,en
rhinos are armoured unicorns #poaching #karma #dontmesswithrhinos https://t.co/omj2nu0qzs,1,9.22E+17,205540483,en
shocking reports of over 20 - maybe 31 rhinos killed this past weekend in south africa | sapeople https://t.co/qr62m1ck1w,1,8.83E+17,3572821818,en
"⚡️#moments: “it was heartbreaking..” 
#photographer #amivitale documented last male northern #whiterhino #sudan's final moments
#rhino #rhinos #animals #wildlife
https://t.co/zehox6debe",-1,9.77E+17,2183520866,en
"are you looking for a social media marketing agency in philadelphia?

bad rhino has everything that you need here: https://t.co/fbeozjnhz2

#marketingphilly #philadelphiasmm",FLAG_BAD,1.10E+18,235366725,en
rhino gift tags #tag #gifttags #giftideas #giftbag #giftgiving #partysupplies #party #event #birthday #babyshower #wedding #decoration #favor #handmade # rhino #endangeredspecies #animal #protect #safari #zoo https://t.co/eqv9tj2tdf via @amazon,FLAG_BAD,1.23E+18,4049331443,en
the latest the rare rhino studios ! https://t.co/delmxe4fhy thanks to @afzal_kaimkhani #conservation #travel,FLAG_BAD,1.56E+18,973866358705475584,en
kenya shows african countries can be part of the solution to the wildlife trade | http://t.co/evye4iwhbk,1,4.34E+17,190685193,en
south africa tries gunfire location system to catch rhino poachers http://t.co/qac6x1ss9h via @yahoonews,0,5.08E+17,319124739,en
rt @africageo: lions are everywhere at @rhinoriverlodge  https://t.co/ui3b3frexj,FLAG_BAD,7.62E+17,134267309,en
.@lincolnparkzoo and its partners are working to save eastern black rhinos from the edge of extinction. there are only a few thousand left in the whole world. move on their efforts today at 4p on @abc7chicago #eatingfortwo https://t.co/simylhxwi5,1,1.11E+18,461924168,en
@nypost the chinese think rhino horn is viagra.,0,1.26E+18,28031362,en
"check out our latest article, ""can we save #rhinos from extinction?"" at https://t.co/vvt7jb9db9 #poaching #extinction #southafrica #wildlife https://t.co/suiyb7mxcc",0,8.21E+17,3567465552,en
beautiful rhino at the omaha zoo. http://t.co/fh87sgiqel,1,4.41E+17,595772466,en
ban the south african domestic trade in rhino horn and the global trade in endangered species parts - sign the petition! https://t.co/zlk5qvyccp via @change,1,1.09E+18,468676372,en
three people have been arrested with arms and ammunition in assam's kaziranga national park for trying to poach one-horned rhinos. https://t.co/xnhr4rs5f7 #rhinopoaching #rhino #india,1,1.08E+18,9366272,en
"meet the #dog who has been saving thousands of #rhinos from #poachers! what a #hero!
https://t.co/gcjyg5hstl
#k9killer #southafrica #animals",1,8.86E+17,14192000,en
"retweeted omary magambo - om (@magamboart):

one #rhino poached is one too many... send your tip-offs anonymously... http://t.co/cisanil4ae",0,6.38E+17,283840407,en
"top story: how 'postcode meerkat' is protecting south africa's rhinos   - cnn https://t.co/flfyfsd5iy, see more https://t.co/fburwqnlad",1,1.23E+18,773621137918070784,en
"20 rhino horns seized in smuggling raid, plus gold bars, diamonds - http://t.co/r6ozgtii - http://t.co/kgvq01oh",1,1.73E+17,16248357,en
"as animal poaching surges, organized crime plays bigger role http://t.co/lizivd8vch",-1,6.03E+17,34305774,en
rt @rarerhino: on rare:  stand with us and join the movement to save the rhinos from extinction your children will thank you. https://t.co/…,1,1.11E+18,973866358705475584,en
watch: san diego zoo welcomes male baby rhino https://t.co/y4g2dhdk65,0,1.56E+18,2906071678,en
"rt @holgermu: and we are touring the @sap philanthropy projects 
- autism 
- africa code week
- elephant / rhino protection w @epiuseuk 
-…",0,9.71E+17,966505210532130816,en
"chinese demand fuels illegal slaughter of rhinos, elephants, and tigers http://t.co/2asr3b3sag",-1,3.08E+17,15081378,en
"hunted for horns worth more than gold, south africa’s rhinos face worst year on record http://t.co/jbrzjrw0 via @msnbc_world",-1,1.88E+17,20897273,en
"vietnam destroys huge pile of seized ivory, rhino horns https://t.co/evk4z4fbns https://t.co/j2ceimkped",1,7.97E+17,16161622,en
"thandi’s calf siya turns one! follow the link to the blog and more insight about the #rhino at #kariegagamereserve 
#poaching #conservation #poachingsurvivior #travel #safari 

https://t.co/glhdyndqgj https://t.co/cmjcwwqo1x",1,1.49E+18,301363649,en
"nola, a northern white rhino at san diego zoo's safari park, has died - la times https://t.co/gumvb6fe60",-1,6.69E+17,27537378,en
"@irfansabrina @jorivaesq @rhino_records @youtube it was reality tv and then the digital era (with itunes, youtube, dailymotion etc.) around like 2006 that really killed music channels and then the music industry.",FLAG_BAD,1.43E+18,1148816063930327040,en
5 rhino have been killed in various game reserves around kwazulu-natal over the weekend. via the citizen http://t.co/honpzdnpxd,1,5.22E+17,9366272,en
virus stalls work to keep alive a rare rhino subspecies (from @ap) https://t.co/3mwozsjmbo,1,1.27E+18,824825688754622465,en
"rt @sarhinofight: please rt/s/s 205 to reach 15000 #rhino_call_for_action
https://t.co/ondpy4ti0y … @sundaytimesza  @safricanism @safarital…",0,7.74E+17,759155531332390912,en
"with the rhino, the meerkat, the noble lion king. we are africa.",0,1.52E+18,402794364,en
"watch: this baby eastern black rhino was named kyiv in honor of ukraine's capital. the calf was born at a zoo in the czech republic on march 4 after russia invaded ukraine. 
https://t.co/mvrdojzczm https://t.co/rrrccvzxck",0,1.50E+18,9651842,en
"that horn can be used for protection and defense, but it can also be used for digging, and some rhinos will root up dirt to get at roots and tubers just below the surface. https://t.co/muxy5awrht",0,1.26E+18,2907302261,en
rt @yorkshirewp: join us tomorrow (22nd sept 17)  at @yorkshirewp for #worldrhinoday!  find out how you can support rhino conservation with…,1,9.11E+17,281241412,en
black rhinos make triumphant return to chad after being killed off https://t.co/sahxndorjn #globalcitizen,1,9.94E+17,3761415808,en
"rt @kamlesm: how wildlife became extinct?
many species vanished few are endangered
salim returns from hunt
mughal painting 1602-03 water co…",0,1.40E+18,84284734,en
would you buy a rhino pillow? https://t.co/adbphorkxj #rhino #rhinohornisnotmedicine #rhinoceros @topsociety6art https://t.co/st0wwhbetw,0,8.42E+17,91972967,en
"rt @ginachron: rhino #poacher jailed for 77 yrs. welcomed by nat parks ~over 1000 killed 2013
http://t.co/kxqgzoyfyi via @a_castelo http://…",1,4.95E+17,61399101,en
rt @datboy_rhino: #specialhappybday to my mother fucking brothers @shawn_toofly @tayfrazier yall enjoy it fam and wish yall many more #s ...,1,8.25E+16,95588788,en
rt @jan77hd: @siberiacat3 @_animaladvocate @southafrica de horn all rhinos  now,0,7.36E+17,558890870,en
rt @horni_rhino: just a normal day on a #vetsgowild course with @drwillfowlds 😅 taking the wildebeest for a walk! #wildlifevets https://t.c…,0,1.39E+18,869959916,en
no one in the world needs a rhino horn but a rhino! interesting facts about #rhino horn http://t.co/ezv1mo31ef #conservation @savetherhino,1,4.64E+17,500447566,en
world's last male northern white rhino dies https://t.co/nl81mw3cxg,-1,9.76E+17,3824923812,en
"@sheldricktrust that’s my boy! love this adorable rhino, apollo. sheldrick wildlife is a wonderful organization! ❤️🦏🐘🦓🦒🦛🐆",1,1.47E+18,373523657,en
baby rhino 'cries inconsolably' after mom killed http://t.co/tux8ftbmxw via @azcentral,-1,4.78E+17,1313295234,en
@artfamcdk @citysfelephants @elephantsrule @oelephants @rhisotope @c255666a459a495 @speakoutforanim @_animaladvocate @welikeanimals @gerturu @wifarmwife @spiritscrushed @wildlifewear__ @helpingrhinos @horni_rhino @rhinolover262 @vfaes_org @edu4naturevn what is your mission statement?,0,1.44E+18,973866358705475584,en
@5gentexan @negusimperatus @jeffontheright insanely horrific! blame the same people bringing a historic spending bill while we loving nonracist individuals suffer from “almost” being in a recession. we must bring extinction to all trader rhinos. grrr these ridiculous morons intent on re-establishing immoral segregation 🤬 https://t.co/pqrejygooo,FLAG_BAD,1.55E+18,824418340617781255,en
"spanish police said on tuesday they had seized more than 200 stuffed endangered animals, including giraffes, rhino, lions and tigers, from an illegal taxidermy workshop that was selling them online.' #stopwildlifecrime #rhino 
https://t.co/yjp86mjmv8",1,1.10E+18,869959916,en
"democrats and rhinos would push their own mothers off a cliff to keep their power, and keep their lies hidden from everyone finding out the truth. how do these monsters sleep at night? sickening! https://t.co/dfg9s3ghje",FLAG_BAD,1.58E+18,1524431689765720064,en
"yesterday.  ""rhino horn is now worth more than the equivalent weight of gold or cocaine"" https://t.co/dlihiahrrz",0,5.91E+17,91237064,en
"take it by the horn: do ""gray rhinos"" pose a greater threat than black swans? https://t.co/byh3laoyhu",FLAG_BAD,9.98E+17,788075863568969729,en
"it is not only official organisations that do conservation work to protect these majestic animals, many ordinary people are putting their hands up in the fight against rhino poaching.' #southafrica #conservation 
https://t.co/opesvwfswf
https://t.co/opesvwfswf",1,1.56E+18,869959916,en
